driver_username,plate_num
V87MR5,PGTP491
FzNeI8,OPFW563
HGQddt,AHCC425
SWFcNm,UGHC646
XFRdGC,NLGG981
zngIY4,KINJ920
BOkuU6,FTFF030
A9HezR,FEHW643
KXZ4kH,VOAF853
h2vVzM,MREE987
omtLoe,FQCR242
c8sVbO,GCPV041
IiBIbO,ATRX049
e2P9Tt,BXPF243
m5CYkf,PXKA540
JqZYFs,BELE741
NzVmC0,GMQO686
iy5LwC,BRMM794
FZah06,CMGC588
6pSAit,TPFU163
cEYMMu,VNJN554
zudT5m,VICV023
210Zae,UPAE898
xbJASL,OGTH838
Fmzdca,IXRY839
ZMQlK8,EGQE519
cWmKVB,KUCX142
iwdyo8,QXLF602
FhOxMH,LUXJ063
kbvNHj,IYVM844
5WRD4s,GCZX572
VRr26E,YLOZ293
2mFHbf,FNXG179
rQ80X5,JIKV431
Ml9JBs,DCNA351
MPPCP9,YSMH091
tf1udX,ILQS739
RNkJ5k,PBWO682
BdAQf1,IHQS355
lE9W1T,HCMD386
tLP9qr,XVTA405
zzXFX5,AWTJ282
o6wljJ,SCXK760
UCpZHi,VBXV272
r6tYbK,VOKR703
AWoiBS,MABQ861
HSh3UF,AZWE014
N5FElj,TOZE312
E9fzCy,PSTB677
nUDrRu,TWGL595
7aYMFA,NTLA837
RF4ddR,VEPK978
lbrkLL,KIGN413
cnUKTb,RIXV293
pKUz5r,SBEF711
OZAx53,KIPB133
rA0Fxg,UBJV863
olgNNk,IQUA010
HCI1Pn,SNTX262
ZwH6g4,OPXE839
pcKNOD,WFUU286
Qygy2L,OQLO750
VW0xgs,WRTQ768
5b7ts2,XSQX088
jXKWXI,IKJE929
vvd6ZV,NJPQ122
VaWc7Z,ZTYF514
ESJ7g2,LSEJ410
xmQZAF,LPCS519
75tSn1,NVKH703
33bXCH,JGHX775
rZ6fcF,WLJK272
WceipZ,CFPE854
sm0Rjv,TSVU830
2WuY9e,WXIX681
lDxejD,OQDZ524
8rQCPH,NPBT007
6SJKDi,MZRT714
lYQUkB,ARPP347
AlUpfp,RDGF312
XSZc3Z,ORKM731
S13bk7,VREA333
IpWtVQ,CNRD166
lrTMxk,FJCY071
NRdwd8,JIDA351
sSMlo7,UQJH154
rdYu2L,LIWZ914
pJySL4,WEMT102
oRQEDx,NIWV959
WLezPm,MJXG941
5gY4sR,ZRYS805
vhBZC1,SIJT805
10zIgn,MZXK181
v4FiHM,STPO881
soOYOd,OYCY695
c1OwyW,ODYD919
wubghn,TAKT438
2POYMM,SAUP400
8No1DU,PJDS986
gXYMME,SCUP265
DWSh6K,UUCH148
nFCdVw,HRFZ062
MOXcp2,CYIS640
7TbBaA,GTGM906
ylx3Pb,RBIT009
7khWdK,HGTK635
UUSEvH,VMRU911
Kf22oz,UESD110
7ErgP3,VPXT883
nB6RtV,FVCP531
Wtzkfv,CEUA755
O0uMHU,CNIA036
j3iU05,NCQA798
I6685L,HUBX029
uaUotc,PJYD159
NDl7rB,XGCM963
Rk9Gny,HWXC443
Eu6W6W,CBFX262
USKBJw,ZJSL872
YYxozE,DHMH476
akGS8E,WVIF346
tmLhDQ,DKUI884
5BTI4L,CIFP196
OYd8Ta,GMTP383
RM4ziT,ZRUK584
Nnu4qC,OQHI415
rvv2nU,XGGI701
KxP4FH,TLMY661
cQdmZb,LQBW683
lbQqBw,MGQR979
K3D2Ta,YQYU150
gBVRaI,WQIT477
ZWvJyf,PFTY323
KWHwXS,ARAN207
zkNSTO,UABY508
vBu9st,ELFI083
RSezYD,BXKI656
vLzVND,YDXW511
qbnufo,JDWF214
oXguCs,UHCD214
MNsHfZ,PWAH241
YZoB1f,UHER017
BU8DBL,TXXT220
ceXKm1,LWKA693
kAfFUU,JVYI834
NgQvnK,WWHJ606
Voqa6x,JKDH957
YpkHtL,WKBM137
plWUSi,CCNQ863
VCl0ge,DADW668
4TETyV,TCWL291
PPrysX,MHBN798
fBhjv6,IWGP630
RdRUZt,ODKJ446
82Orak,PEAB070
ieHLgn,XPXR501
tF1O2d,YDON862
d128zQ,FUYD415
AwQojD,ABHG128
Mj3VU5,GUBX377
GhzHPO,XMAU283
PTf40p,MMFM174
FClx0i,QLUT519
09C8ro,UANZ232
T34E86,KBKQ160
uXu5IU,RIEC124
oWlotg,QKVL982
vG5ljg,SEGQ456
cYsUeU,LDKD006
2I0KxV,JJZQ473
TLUiJc,YITN674
5J4QJe,WFNT484
7MQgNl,CIVZ919
ssUXmj,JUYV889
NZ2ZCA,OKPR993
ediPUh,BBXQ926
LM6dpZ,HLUR640
mLPNXS,TMUU162
DW5OcE,LJCW193
B5iuUu,FALL960
kfH4wq,SSVR549
6r1tVA,VSES851
oPD4va,FOQB097
U9BkVq,BXWB668
EPAeOZ,OLXY564
8a1L2J,RXQL732
SsZjRq,AMDV546
aUB4kM,XZNI604
BGKIZU,RSDJ683
s9Jazg,EKLB887
pcccu4,WELZ933
IcW3mC,TMGZ978
BvsVJA,LAKW728
pJpycI,CBWY658
O0Agc3,YNLR535
A1323z,FNMI415
N7kGwH,OPRA823
0IdHGo,DHIO035
mXzIvp,DQVZ385
119UN3,CEYO157
3l9d3v,KRWA171
IJ12HL,LQPX729
aiXi8U,ZSBF816
oGuW4F,OQIB853
D1FOAC,PECY928
03trNK,DGDF856
HWPs97,OWQA995
wuPnsN,TMFG134
RT3pqH,NQVS485
Igr4aC,SHKX059
p4IzCO,EBRL303
ctUNal,BOPT463
E6HwkJ,AUTY705
zZI16r,DQTV377
JKMmiq,ZDUO679
cM6NCE,MSME909
z7rBL9,OBBS185
2E2Rkt,BCNS034
9W6iFB,KEPQ589
3x8ap1,JOQU404
BzKnuN,QAEB786
p13D7n,FBVV159
byNI82,PCXS527
y1kdnM,QBNN655
u4H5TO,MAUG096
GYR09W,WIDC448
yOToms,YOHH358
06YTGQ,DHHF797
xuzFmx,QPIU329
QiM830,PKJQ114
Gtio7i,WRYU156
Wly0Tt,ITXF092
jJP2mr,TXSU848
xby1Hi,FVYN938
ZAwdja,HOBX254
K0Vci2,ZJLA673
KL807f,SJAP756
b6aFfc,FPOS328
iY6fLc,LYMI156
CPm9P6,IPZX188
v2BYqd,RMEC724
YHkWsa,EBNY971
s6dSZK,YTYG686
HUeU5L,UVCY674
epp2ZT,IJRM226
QK6BEE,JYYE480
eDQ7qY,XSAA272
1LqfwO,LBKS026
8tzb14,TIHK623
cb7z3B,UYEQ825
yfrRGh,HBMG130
eq1ZyV,TPPK498
4KnFct,CNGD398
f82a4q,HYQC522
eySBjm,XEMS583
GoJOJK,XPOR260
rkEIBG,GZHK743
Wj4dgr,GVSO417
RW9NU4,MYZU569
JXlAxS,PYHX314
OcGPSK,KNHR825
MqAcY1,ACEE251
pW7vDV,QTLF792
vARluN,YBVI909
n2UOFv,YDUQ318
jqxw4j,FZCU718
9HQuR0,VDSH067
qy7Hi7,DQHA535
7XTQPw,UVEA988
Anr3mZ,HOXL869
z7kP3r,FMBH409
E2cYv6,NEQS315
EAtb45,MHZG143
PfTXRr,DETN283
bSbAwQ,EMXN406
1Gf05T,EFRW418
Pb4QDq,KDBQ258
fjlXLO,QOGH522
DitwoG,SQVW215
Fcq3xl,PXNN144
QDGLgp,FNTZ144
bOFZLc,NKNA486
B9bn1r,FHUO054
FEGM6N,TVYV253
hFcYuc,VESE263
nWoT99,SWDW391
jUC667,NXFR134
JoXQuo,FMIX137
ock8xs,HDGY719
eEG3nb,GEMK009
NCdmvz,OEEC186
yr9cDh,MFYO568
oJIJDS,NKJI194
zRUxuS,QIVF430
1oj5z5,YDSP283
2qqlt3,GRUG126
dg2icD,BFKH275
pMYDUn,FCIJ547
kUAyDW,OERM207
HZSLvH,SYTE387
Q22EjW,ZEXL354
1DaOph,PFEV372
ZRyRHh,UELK647
3yU5Ve,PMZC133
4DnUeT,RCDO777
lSvvSk,HNJN279
KlmBLR,MLBX038
NVpdZv,XXIH941
hzRuR6,TIGM287
wUgXJf,LDIX539
thiHnX,PBAA994
wn9OGg,XFZB728
51mDsA,RUEW557
zbo2wo,MTKX746
B0Ay97,UDSO604
DwbGSo,MWMF651
sFsRrv,TNGP128
vTtvza,WJKR570
Ttmgis,DPBO175
01u4Fw,JRMS769
X7oCKT,MPWL659
Eyj8Vm,TIEV885
Sht3Gd,SFVC954
5QBkfQ,VZMY813
UhOtPb,FKKN541
4xA54u,XYJC340
GtIZqB,XRYV748
1VXANA,WACT567
87uR9z,KKYL498
vwbYrm,WAUK672
FViHEh,JTSQ031
mWn9xX,DWPE642
Ufj9tK,QCMA517
2UUNvS,YJWN393
qmyKKH,IGEZ829
SrBgUV,YHLD999
ctQ0Y1,XGFT760
X8JX7d,GTUY615
PvDRgX,EXNJ529
S1jPab,PLCY511
sbMfrF,KGKB376
WxKOg9,QTKC166
3B5czx,WHGL537
IToU4Y,RXBR325
DALnNc,FKHF006
vNSzI6,NLJU175
o2QEAJ,UFNW129
TBOEYe,HRVW771
bzCwHG,ZOGB125
wXhxbr,AZMO372
4skrcT,XTGK872
rE39y6,LLPC202
gESfB3,YWVW338
K9mqMY,OZFY299
a9FLCu,KJFP349
Z1bjJS,TZXV974
jmi4WT,XNCE722
lcBFPC,YTNJ039
xRWonb,PLVL883
EOfMRc,XROD765
NfCIj6,PYLK366
f75A5Z,SSZI801
UPmSEt,QCUX590
WUuDYu,PVTE704
YvN9e5,ZING088
xXUFq1,WGKI335
Rc2EkS,USRL951
HxV7TX,YBBD534
ywJvz6,CUAT340
sKGRuy,CIAM007
tfc9Mi,DMUG727
EOivBm,WZQO010
1Stc6k,FWKU936
YbbzLs,BARX130
wBhYXg,XNLZ839
u9sDVE,LOAH322
zHkx2E,SZTH379
zDvg4h,OZQO035
MPOg3S,DYBX335
X3UtNL,JIDW820
Aq1CAB,ZASV116
4x6pmy,EXIU468
9liWAH,XZKX866
7PGALH,QCZX262
SOGZqc,YLIQ986
uF4ZwM,CARR410
NxCtmH,YZPW196
khnZgR,RIBF410
uA2Mw8,VPOF371
EAettv,EHZG625
5eGe4h,KCEN928
4kyWIN,HIXM546
ENm9Zn,EDWL083
e2rypq,VAHL264
jiT5Uw,XMMT291
seDQyI,CFEG275
AGnFe5,WSXN668
cX1pHi,EBMI170
VFk1P1,GVXN135
